,cleaan_entity_name,restaurant_name,entity_sentiment_score
43,fish,Capital Taco,0.40909090638160706
50,fish,Taqueria Arandas,0.3000000119209289
46,fish,La Posada Mexican Restaurant,0.27500000037252903
48,fish,Mr Natural,0.2666666607062022
47,fish,Las Cazuelas Mexican Restaurant,0.2625000048428774
45,fish,El Naranjo South Lamar,0.2500000074505806
36,fajita,El Naranjo South Lamar,0.8999999761581421
41,fajita,Pollo Regio,0.4750000089406967
37,fajita,La Posada Mexican Restaurant,0.4260869528288427
38,fajita,Las Cazuelas Mexican Restaurant,0.27777777639804063
33,fajita,Capital Taco,0.26363636485554953
42,fajita,Taqueria Arandas,0.12857142835855484
34,fajita,Chupacabra Cantina Y Tacqueria,0.10000001173466444
35,fajita,El Mesón,0.030000001937150956
39,fajita,Marcelino's,0.0
40,fajita,Mr Natural,-0.09999999850988388
32,enchilada,Un Mundo De Sabor,0.5999999980131785
26,enchilada,El Naranjo South Lamar,0.34210526002080816
27,enchilada,La Posada Mexican Restaurant,0.29795918309566927
30,enchilada,Pueblo Viejo Traila,0.2666666681567828
28,enchilada,Las Cazuelas Mexican Restaurant,0.25999999925494194
25,enchilada,El Mesón,0.2275862082325179
29,enchilada,Mr Natural,0.17368420958518982
31,enchilada,Taqueria Arandas,0.15454545684836127
24,enchilada,Chupacabra Cantina Y Tacqueria,0.1323529411764706
15,chicken,Granny's Tacos,0.4374999972060323
14,chicken,El Naranjo South Lamar,0.4199999928474426
23,chicken,Un Mundo De Sabor,0.29999999701976776
20,chicken,Pollo Regio,0.2678048776053801
13,chicken,El Mesón,0.25999999841054283
17,chicken,Las Cazuelas Mexican Restaurant,0.2529411738847985
21,chicken,Pueblo Viejo Traila,0.24347826449767404
11,chicken,Capital Taco,0.2333333349476258
19,chicken,Mr Natural,0.22500000335276127
16,chicken,La Posada Mexican Restaurant,0.17777777939207023
18,chicken,Marcelino's,0.15000000596046445
12,chicken,Chupacabra Cantina Y Tacqueria,0.13333333461057573
22,chicken,Taqueria Arandas,0.08421052639421664
4,burrito,La Posada Mexican Restaurant,0.44999999552965164
2,burrito,El Mesón,0.4000000059604645
8,burrito,Pollo Regio,0.4000000059604645
0,burrito,Capital Taco,0.3999999985098839
1,burrito,Chupacabra Cantina Y Tacqueria,0.28536585046023855
10,burrito,Taqueria Arandas,0.2100000001490116
3,burrito,El Naranjo South Lamar,0.2000000029802322
9,burrito,Pueblo Viejo Traila,0.1333333303531011
7,burrito,Mr Natural,0.05833333730697631
6,burrito,Marcelino's,0.0
5,burrito,Las Cazuelas Mexican Restaurant,-0.0760000017285347
113,tortilla,Taquito Aviles,0.3407407408511197
107,tortilla,Taqueria Anyeli,0.3320000001788139
114,tortilla,Tortillería Río Grande,0.3170370385602668
111,tortilla,Taqueria Los Jaliscienses,0.3052631553850676
109,tortilla,Taqueria Chapala,0.29583333153277636
112,tortilla,Taqueria Morelos,0.25000000149011614
108,tortilla,Taqueria Arandas,0.24333333546916644
115,tortilla,Vazquez Restaurant,0.19374999636784196
102,tortilla,Cheko’s,0.1893617032056159
110,tortilla,Taqueria Los Altos,0.18461538335451713
106,tortilla,Tacodeli,0.1692307654481668
104,tortilla,Maudie's North Lamar,0.10526315926721222
103,tortilla,El Caribe Mexican Restaurant,0.06071428608681474
105,tortilla,South Austin Trailer Park & Eatery,4.470348358154297e-09
93,taco,Taqueria Anyeli,0.4022727286951108
94,taco,Taqueria Arandas,0.3670731710224617
95,taco,Taqueria Chapala,0.363461539006004
101,taco,Vazquez Restaurant,0.35686274632519366
96,taco,Taqueria Los Altos,0.35362318860016007
97,taco,Taqueria Los Jaliscienses,0.3400000039268942
99,taco,Taquito Aviles,0.3396551702171564
100,taco,Tortillería Río Grande,0.3284552841772878
92,taco,Tacodeli,0.3235294113264364
98,taco,Taqueria Morelos,0.32209302242412124
91,taco,South Austin Trailer Park & Eatery,0.30769230670981357
88,taco,Cheko’s,0.30540540562690915
90,taco,Maudie's North Lamar,0.2910000019520521
89,taco,El Caribe Mexican Restaurant,0.21632653109881342
79,steak,Maudie's North Lamar,0.533333328862985
77,steak,Cheko’s,0.4800000011920929
82,steak,Taqueria Chapala,0.36666665971279144
