restaurant_name,id,attributes
Vaquero's Cafe and Cantina,HtkgiA-P5Ute-6KzYsryQQ,"['Heath Score: 79 out of 100', 'Takes Reservations', 'Offers Takeout', 'Staff wears masks']"
El Chilito,P4ObhAEvCW867NiG-USPeA,"['Heath Score: 91 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Oye Taquito,UjPD0ANtXWprEJ9IEogeXw,"['Offers Delivery', 'Offers Takeout', 'Staff wears masks', 'Accepts Credit Cards']"
Techo Mezcaleria & Agave Bar,8GfPt82px0MYo9McLIYH7Q,"['Masks required', 'No Reservations', 'No Delivery', 'No Takeout']"
Tacos Las Amazonas,m8g7EyLdNx5UHVHX6brkUQ,"['Masks required', 'Many Vegetarian Options', 'No Reservations', 'Accepts Credit Cards']"
Santa Rita Tex-Mex Cantina,mId-HN-F1HO2OEAxdrrg1A,"['Heath Score: 92 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
The Peached Tortilla,4gjL09PPT5UI5fmnVxFHcQ,"['Offers Takeout', 'Masks required', 'No Reservations', 'No Delivery']"
Los Jaliscienses,mE71Kja2XJq25-iQhGcdfA,"['Heath Score: 100 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
Freebirds World Burrito,HjKbiCL6_ZvGWYx5EX4-pQ,"['Heath Score: 98 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Taqueria La Canaria,Yb13Yvw_tSCS20l_v33WUQ,"['Offers Takeout', 'No Reservations', 'No Delivery', 'Accepts Credit Cards']"
Serranos,JGYfl949YuTySsHl6fQXng,"['Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Staff wears masks']"
Vazquez Restaurant,Y-Fepz41Q6JnhvjDuU-vWA,"['Offers Delivery', 'Offers Takeout', 'Accepts Credit Cards', 'No Reservations']"
Tacoly Moly,4rePJDIX7lefZCUr8zQ8Vg,"['Accepts Credit Cards', 'Outdoor Seating', 'Offers Catering', 'Masks required']"
The Park At The Domain,tJcreajt7qe98DBqaFRsDA,"['Heath Score: 80 out of 100', 'Takes Reservations', 'Offers Delivery', 'Staff wears masks']"
OneTaco,pPaRvDa9OC9h12ugJuKFWQ,"['Offers Takeout', 'Many Vegetarian Options', 'No Reservations', 'No Delivery']"
Super Burrito at the Water Tank,-1ShItlulHnBsoOQWnblzw,"['Offers Delivery', 'Offers Takeout', 'Vegan Options', 'No Reservations']"
Rico's Tacos,gPMZdARiHo0j1nyIHjRghg,"['Offers Takeout', 'Accepts Credit Cards', 'No Reservations', 'No Delivery']"
Dave's Tacos,Z2i3xGhaf3mQ1TrWAhlvFg,"['Offers Delivery', 'Offers Takeout', 'All staff fully vaccinated', 'No Reservations']"
ALLI Mexican Cuisine,BX2J-O891PfC_eMhNu5zmw,"['Heath Score: 92 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
Pollos Asados El Norteño ,DJXOsYCWc0nMfBVUUy6JHg,"['Offers Takeout', 'No Reservations', 'No Delivery', 'Masks required']"
Wally's Burger Express,t0l4gL6jwSjMKyWTmYhatg,"['Heath Score: 90 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
El Secreto De Abuela,mXDYtboV6TXsZY5I3DKVtg,"['Heath Score: 70 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
Taqueria Arandas,AK7iJ4gksCE7hzkN2oBjTg,"['Heath Score: 76 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
